id,title,vote_count,vote_average,year
807,Se7en,5915.0,8.1,1995
10530,Pocahontas,1509.0,6.7,1995
8391,When Night Is Falling,10.0,5.9,1995
629,The Usual Suspects,3334.0,8.1,1995
117164,Guardian Angel,3.0,6.3,1994
11448,Mighty Aphrodite,145.0,6.7,1995
49133,Lamerica,11.0,7.7,1994
26441,The Big Green,41.0,5.2,1995
97406,Georgia,15.0,6.1,1995
124057,Kids of the Round Table,1.0,3.0,1997
9089,Home for the Holidays,39.0,6.3,1995
11010,The Postman,181.0,7.6,1994
99040,The Confessional,2.0,6.5,1995
11359,The Indian in the Cupboard,136.0,5.9,1995
17182,Eye for an Eye,65.0,5.8,1996
2054,Mr. Holland's Opus,115.0,6.9,1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,1996
19760,Two If by Sea,14.0,4.5,1996
9536,Bio-Dome,110.0,4.4,1996
11525,Lawnmower Man 2: Beyond Cyberspace,32.0,2.8,1996
40628,Two Bits,11.0,5.4,1995
4482,French Twist,43.0,6.0,1995
10634,Friday,513.0,7.0,1995
755,From Dusk Till Dawn,1644.0,6.9,1996
11859,Fair Game,54.0,4.1,1995
28387,Kicking and Screaming,36.0,7.0,1995
48750,Les Miserables,8.0,6.6,1995
20927,Bed of Roses,27.0,5.1,1996
36929,Big Bully,16.0,3.9,1996
9102,Screamers,154.0,6.1,1995
124626,Nico Icon,3.0,7.3,1995
27526,The Crossing Guard,74.0,6.1,1995
9623,The Juror,91.0,5.5,1996
46785,The White Balloon,20.0,7.5,1995
400,Things to Do in Denver When You're Dead,87.0,6.7,1995
880,Antonia's Line,26.0,7.2,1995
146599,Once Upon a Time... When We Were Colored,2.0,4.5,1996
188588,Last Summer in the Hamptons,0.0,0.0,1995
8447,Angels and Insects,17.0,6.3,1995
10534,White Squall,86.0,6.3,1996
17414,Dunston Checks In,59.0,5.1,1996
13997,Black Sheep,124.0,6.0,1996
2086,Nick of Time,190.0,6.1,1995
61548,The Journey of August King,3.0,6.7,1995
9095,Mary Reilly,77.0,5.7,1996
12158,Vampire in Brooklyn,113.0,4.5,1995
9283,Beautiful Girls,103.0,6.6,1996
9208,Broken Arrow,459.0,5.7,1996
40154,A Midwinter's Tale,6.0,7.5,1995
406,La Haine,695.0,7.9,1995
45549,Shopping,13.0,5.6,1994
63076,Heidi Fleiss: Hollywood Madam,4.0,6.8,1995
11062,City Hall,67.0,6.0,1996
13685,Bottle Rocket,285.0,6.8,1996
47475,Mr. Wrong,16.0,3.3,1996
2045,Unforgettable,22.0,5.3,1996
9614,Happy Gilmore,767.0,6.5,1996
688,The Bridges of Madison County,397.0,7.3,1995
11907,Nobody Loves Me,5.0,5.1,1994
10874,Muppet Treasure Island,93.0,6.5,1996
89333,Catwalk,2.0,7.0,1995
96357,Headless Body in Topless Bar,0.0,0.0,1995
197,Braveheart,3404.0,7.7,1995
103,Taxi Driver,2632.0,8.1,1976
33542,Rumble in the Bronx,245.0,6.5,1995
43566,Before and After,37.0,5.8,1996
71754,Margaret's Museum,2.0,7.5,1995
43612,Happiness Is in the Field,23.0,7.0,1995
51352,Anne Frank Remembered,4.0,7.3,1995
16934,The Young Poisoner's Handbook,19.0,6.9,1995
10324,If Lucy Fell,11.0,5.4,1996
78406,Steal Big Steal Little,7.0,5.1,1995
55731,Race the Sun,21.0,5.2,1996
32119,The Boys of St. Vincent,7.0,7.0,1992
11066,Boomerang,139.0,5.4,1992
11104,Chungking Express,249.0,7.9,1994
37975,The Star Maker,29.0,6.8,1995
2074,Flirting with Disaster,66.0,6.3,1996
27793,The Neverending Story III: Escape from Fantasia,105.0,4.4,1994
44284,The Silences of the Palace,3.0,4.3,1994
290157,Jupiter's Wife,0.0,0.0,1995
110972,Pie in the Sky,2.0,7.0,1996
32622,Angela,9.0,5.6,1995
73067,Frankie Starlight,4.0,5.4,1995
11863,Jade,45.0,5.1,1995
55475,Nueba Yol,1.0,5.5,1995
124636,Sonic Outlaws,0.0,0.0,1995
9101,Down Periscope,110.0,5.6,1996
123360,From the Journals of Jean Seberg,2.0,6.5,1995
5757,Man of the Year,2.0,3.8,1995
39428,The Neon Bible,5.0,7.2,1995
124639,Target,0.0,0.0,1995
9302,Up Close & Personal,51.0,5.9,1996
11000,The Birdcage,303.0,6.7,1996
249882,Virgin Mary,2.0,7.0,1995
16388,The Brothers McMullen,23.0,6.3,1995
9737,Bad Boys,1729.0,6.5,1995
30765,The Amazing Panda Adventure,31.0,5.0,1995
10474,The Basketball Diaries,472.0,7.2,1995
22279,An Awfully Big Adventure,11.0,6.0,1995
30157,Amateur,21.0,6.5,1994
568,Apollo 13,1637.0,7.3,1995
11780,Rob Roy,151.0,6.5,1995
34996,The Addiction,46.0,6.4,1995
414,Batman Forever,1529.0,5.2,1995
649,Belle de Jour,163.0,7.3,1967
1873,Beyond Rangoon,21.0,6.4,1995
5894,Blue in the Face,28.0,6.8,1995
1775,Canadian Bacon,57.0,5.9,1995
8839,Casper,1045.0,6.0,1995
20649,Clockers,69.0,6.8,1995
10329,Congo,214.0,5.0,1995
8963,Crimson Tide,508.0,7.0,1995
26564,Crumb,71.0,7.6,1994
8068,Desperado,898.0,6.8,1995
8512,Devil in a Blue Dress,88.0,6.3,1995
1572,Die Hard: With a Vengeance,2094.0,6.9,1995
13552,The Doom Generation,57.0,5.6,1995
259209,Feast of July,0.0,0.0,1995
6520,First Knight,319.0,5.9,1995
9073,Free Willy 2 - The Adventure Home,130.0,5.5,1995
10428,Hackers,406.0,6.2,1995
17447,Jeffrey,19.0,6.5,1995
9886,Johnny Mnemonic,380.0,5.5,1995
9482,Judge Dredd,643.0,5.4,1995
19326,Jury Duty,34.0,4.0,1995
9344,Kids,280.0,6.8,1995
9071,Living in Oblivion,64.0,7.2,1995
8973,Lord of Illusions,87.0,5.9,1995
15730,Love & Human Remains,7.0,7.0,1993
47608,Mad Love,27.0,5.5,1995
2293,Mallrats,400.0,6.8,1995
9070,Mighty Morphin Power Rangers: The Movie,153.0,5.2,1995
68274,Moonlight and Valentino,10.0,5.6,1995
48787,Mute Witness,36.0,6.4,1995
34574,Nadja,12.0,5.9,1994
1642,The Net,359.0,5.6,1995
11472,Nine Months,171.0,5.5,1995
36196,Party Girl,14.0,5.8,1995
11980,The Prophecy,139.0,6.4,1995
58372,Reckless,1.0,10.0,1995
32646,Safe,62.0,7.2,1995
10533,The Scarlet Letter,111.0,5.5,1995
56088,The Show,2.0,5.3,1995
10802,Showgirls,261.0,4.9,1995
10149,Smoke,115.0,7.2,1995
18402,Something to Talk About,60.0,5.7,1995
9348,Species,457.0,5.5,1995
139408,The Stars Fell on Henrietta,6.0,6.6,1995
281,Strange Days,334.0,6.8,1995
5967,The Umbrellas of Cherbourg,119.0,7.6,1964
79593,The Tie That Binds,9.0,4.6,1995
47939,Three Wishes,18.0,6.1,1995
36834,Total Eclipse,112.0,6.5,1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3,1995
3512,Under Siege 2: Dark Territory,217.0,5.6,1995
52856,Unstrung Heroes,9.0,6.4,1995
77350,Unzipped,6.0,6.0,1995
9560,A Walk in the Clouds,168.0,6.5,1995
9804,Waterworld,1017.0,5.9,1995
31611,White Man's Burden,25.0,5.1,1995
65796,Wild Bill,27.0,5.9,1995
49805,The Browning Version,11.0,6.0,1994
26258,Bushwhacked,29.0,4.9,1995
50797,Burnt by the Sun,35.0,6.7,1994
19155,Before the Rain,45.0,7.7,1994
76,Before Sunrise,984.0,7.7,1995
11017,Billy Madison,464.0,6.2,1995
37141,The Babysitter,27.0,4.7,1995
9382,Boys on the Side,48.0,6.3,1995
6715,The Cure,58.0,7.2,1995
18256,Castle Freak,40.0,5.8,1995
22625,Circle of Friends,30.0,6.5,1995
2292,Clerks,769.0,7.4,1994
1909,Don Juan DeMarco,184.0,6.3,1994
8984,Disclosure,217.0,5.9,1994
61813,Dream Man,1.0,2.5,1995
4954,Drop Zone,91.0,5.1,1994
62488,Destiny Turns on the Radio,9.0,5.3,1995
10531,Death and the Maiden,92.0,7.1,1994
11929,Dolores Claiborne,183.0,7.1,1995
8467,Dumb and Dumber,1894.0,6.5,1994
10451,Eat Drink Man Woman,76.0,7.5,1994
20156,Exotica,64.0,6.5,1994
18395,Exit to Eden,28.0,4.3,1994
522,Ed Wood,639.0,7.3,1994
397,French Kiss,179.0,6.2,1995
10525,Forget Paris,38.0,6.1,1995
27985,Far from Home: The Adventures of Yellow Dog,27.0,5.6,1995
15789,A Goofy Movie,404.0,6.7,1995
27303,Hideaway,24.0,5.0,1995
21183,Fluke,48.0,6.6,1995
10954,Farinelli,20.0,5.9,1994
47867,Gordy,4.0,3.0,1995
43475,Gumby: The Movie,2.0,5.0,1995
72031,The Glass Shield,9.0,5.4,1994
14275,Hoop Dreams,91.0,7.7,1994
1024,Heavenly Creatures,299.0,6.9,1994
17207,Houseguest,17.0,6.0,1995
13701,Immortal Beloved,90.0,6.9,1994
14819,Heavyweights,97.0,6.0,1995
32631,The Hunted,25.0,6.0,1995
11777,I.Q.,112.0,5.9,1994
628,Interview with the Vampire,1558.0,7.2,1994
87729,Jefferson in Paris,10.0,5.2,1995
18713,The Jerky Boys,10.0,4.8,1995
6280,Junior,381.0,4.7,1994
9061,Just Cause,124.0,6.0,1995
37108,A Kid in King Arthur's Court,40.0,4.3,1995
6071,Kiss of Death,83.0,5.7,1995
11,Star Wars,6778.0,8.1,1977
9587,Little Women,222.0,7.0,1994
19101,A Little Princess,207.0,7.4,1995
49980,Ladybird Ladybird,14.0,7.4,1994
17961,L'Enfer,22.0,6.6,1994
18183,Like Water for Chocolate,70.0,6.6,1992
4476,Legends of the Fall,636.0,7.2,1994
11008,Major Payne,164.0,6.1,1995
47504,Little Odessa,31.0,6.4,1994
32325,Mi Vida Loca,9.0,5.7,1994
43742,Love Affair,11.0,4.3,1994
28313,Losing Isaiah,28.0,6.4,1995
11318,The Madness of King George,67.0,6.7,1994
3036,Mary Shelley's Frankenstein,272.0,6.1,1994
40490,Man of the House,40.0,5.1,1995
24070,Mixed Nuts,37.0,5.2,1994
8986,Milk Money,49.0,5.6,1994
10510,Miracle on 34th Street,199.0,6.4,1994
17402,Miami Rhapsody,7.0,5.6,1995
38722,My Family,11.0,7.0,1995
8438,Murder in the First,140.0,6.9,1995
11593,Nobody's Fool,56.0,7.0,1994
1945,Nell,128.0,6.1,1994
39310,New Jersey Drive,7.0,6.9,1995
109560,New York Cop,0.0,0.0,1993
56428,Beyond Bedlam,4.0,4.0,1994
63105,Nemesis 2 - Nebula,10.0,4.6,1995
131957,Nina Takes a Lover,4.0,7.4,1995
241,Natural Born Killers,927.0,6.9,1994
9058,Only You,92.0,6.4,1994
527,Once Were Warriors,106.0,7.6,1994
18220,Poison Ivy II: Lily,32.0,4.6,1996
6950,Outbreak,522.0,6.4,1995
101,Leon: The Professional,4293.0,8.2,1994
63020,The Perez Family,9.0,6.6,1995
2307,A Pyromaniac's Love Story,2.0,7.0,1995
680,Pulp Fiction,8670.0,8.3,1994
41478,Panther,6.0,6.4,1995
25296,Pushing Hands,9.0,6.1,1992
40156,Priest,32.0,6.4,1994
11450,Quiz Show,262.0,7.1,1994
30304,Picture Bride,5.0,7.4,1995
10452,Queen Margot,67.0,7.0,1994
12106,The Quick and the Dead,431.0,6.2,1995
161495,Roommates,7.0,6.4,1995
3586,Prêt-à-Porter,33.0,5.3,1994
110,Three Colors: Red,246.0,7.8,1994
108,Three Colors: Blue,311.0,7.7,1993
109,Three Colors: White,218.0,7.3,1994
159185,"Red Firecracker, Green Firecracker",2.0,7.0,1994
36357,Rent-a-Kid,15.0,5.1,1995
92769,Relative Fear,3.0,4.7,1995
28033,Stuart Saves His Family,6.0,5.0,1995
22586,The Swan Princess,251.0,6.5,1994
14334,The Secret of Roan Inish,15.0,6.1,1994
2636,The Specialist,317.0,5.5,1994
2164,Stargate,942.0,6.8,1994
11395,The Santa Clause,501.0,6.3,1994
278,The Shawshank Redemption,8358.0,8.5,1994
9905,Shallow Grave,247.0,7.0,1994
87078,Suture,7.0,6.0,1993
12527,Strawberry and Chocolate,16.0,7.1,1993
20306,Swimming with Sharks,104.0,6.7,1994
36614,The Sum of Us,21.0,6.0,1994
27993,Senior Trip,23.0,5.7,1995
31439,To Live,62.0,7.7,1994
9067,Tank Girl,140.0,5.5,1995
9059,Tales from the Crypt: Demon Knight,96.0,6.7,1995
193,Star Trek: Generations,461.0,6.4,1994
25066,Tales from the Hood,33.0,5.4,1995
46797,Tom & Viv,8.0,5.8,1994
12122,Village of the Damned,165.0,5.6,1995
11381,Tommy Boy,321.0,6.8,1995
32636,Vanya on 42nd Street,15.0,6.1,1994
36141,The Underneath,15.0,5.6,1995
95963,The Walking Dead,4.0,6.6,1995
1587,What's Eating Gilbert Grape,943.0,7.5,1993
9271,Virtuosity,163.0,5.4,1995
2064,While You Were Sleeping,340.0,6.5,1995
19855,The War,39.0,6.3,1994
60855,Double Happiness,2.0,5.5,1994
236,Muriel's Wedding,104.0,6.9,1994
48287,The Baby-Sitters Club,23.0,5.3,1995
3049,Ace Ventura: Pet Detective,1684.0,6.4,1994
2759,"The Adventures of Priscilla, Queen of the Desert",174.0,7.2,1994
12635,Backbeat,37.0,6.2,1994
10497,Bitter Moon,115.0,7.0,1992
11382,Bullets Over Broadway,130.0,7.0,1994
9331,Clear and Present Danger,390.0,6.4,1994
10731,The Client,287.0,6.4,1994
10464,"Corrina, Corrina",83.0,6.4,1994
34152,Crooklyn,31.0,6.7,1994
9495,The Crow,980.0,7.3,1994
29973,Cobb,29.0,6.1,1994
888,The Flintstones,559.0,5.0,1994
13,Forrest Gump,8147.0,8.2,1994
712,Four Weddings and a Funeral,654.0,6.6,1994
16295,Higher Learning,49.0,6.4,1995
48992,I Like It Like That,4.0,6.3,1994
10879,I Love Trouble,41.0,5.3,1994
10660,It Could Happen to You,154.0,6.1,1994
10714,The Jungle Book,107.0,5.9,1994
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",5.0,7.3,1993
8587,The Lion King,5520.0,8.0,1994
1689,Little Buddha,76.0,6.0,1993
11596,New Nightmare,297.0,6.4,1994
854,The Mask,2550.0,6.6,1994
9359,Maverick,490.0,6.6,1994
23333,Mrs. Parker and the Vicious Circle,20.0,6.3,1994
36593,The Naked Gun 33⅓: The Final Insult,535.0,6.4,1994
12280,The Paper,40.0,6.1,1994
2788,Reality Bites,180.0,6.5,1994
10427,Red Rock West,71.0,6.4,1993
11011,Ri¢hie Ri¢h,426.0,5.4,1994
49803,Safe Passage,7.0,4.9,1994
8987,The River Wild,214.0,6.1,1994
1637,Speed,1814.0,6.8,1994
15128,Speechless,24.0,5.5,1994
8831,Timecop,288.0,5.5,1994
36955,True Lies,1138.0,6.8,1994
10449,When a Man Loves a Woman,71.0,6.0,1994
10395,Wolf,221.0,6.0,1994
12160,Wyatt Earp,203.0,6.5,1994
40480,Bad Company,12.0,4.9,1995
52038,A Man of No Importance,2.0,6.5,1994
29444,S.F.W.,22.0,6.1,1994
26352,A Low Down Dirty Shame,31.0,6.0,1994
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1.0,2.0,1994
41580,Colonel Chabert,9.0,5.9,1994
315,"Faster, Pussycat! Kill! Kill!",59.0,6.5,1965
22067,Jason's Lyric,9.0,5.9,1994
18242,The Secret Adventures of Tom Thumb,8.0,7.1,1993
11667,Street Fighter,330.0,4.1,1994
32502,Coldblooded,13.0,6.7,1995
267188,Desert Winds,0.0,0.0,1997
28732,Fall Time,6.0,6.3,1995
75555,The Fear,7.0,3.4,1995
42981,Frank and Ollie,4.0,7.5,1995
278939,Girl in the Cadillac,1.0,10.0,1995
291731,Homage,0.0,0.0,1995
226229,Mirage,1.0,4.0,1995
203119,Open Season,0.0,0.0,1996
172923,Dos Crímenes,1.0,5.0,1995
316098,Brother Minister: The Assassination of Malcolm X,1.0,4.0,1995
8011,Highlander: The Final Dimension,110.0,4.5,1994
171857,Federal Hill,2.0,5.0,1995
2654,In the Mouth of Madness,307.0,7.1,1994
18069,8 Seconds,22.0,7.2,1994
19092,Above the Rim,40.0,6.7,1994
2758,Addams Family Values,537.0,6.5,1993
38129,Martin Lawrence: You So Crazy,4.0,4.5,1994
10436,The Age of Innocence,172.0,7.0,1993
13595,Airheads,222.0,5.8,1994
46094,The Air Up There,42.0,5.1,1994
9409,Another Stakeout,58.0,4.9,1993
11853,Bad Girls,61.0,4.6,1994
16771,Barcelona,20.0,6.6,1994
46924,Being Human,15.0,5.0,1994
11041,The Beverly Hillbillies,86.0,5.0,1993
306,Beverly Hills Cop III,445.0,5.5,1994
14522,Black Beauty,68.0,6.6,1994
26203,Blink,45.0,6.3,1994
178,Blown Away,126.0,6.0,1994
19819,Blue Chips,41.0,5.7,1994
57834,Blue Sky,28.0,6.1,1994
4722,Body Snatchers,102.0,5.8,1993
18215,Boxing Helena,59.0,4.5,1993
1607,A Bronx Tale,447.0,7.4,1993
26391,Cabin Boy,28.0,4.9,1994
117553,Calendar Girl,10.0,3.7,1993
6075,Carlito's Way,805.0,7.7,1993
11310,City Slickers II: The Legend of Curly's Gold,103.0,4.9,1994
18658,Clean Slate,25.0,5.7,1994
9350,Cliffhanger,600.0,6.1,1993
9612,Coneheads,228.0,4.8,1993
2124,Color of Night,117.0,5.4,1994
26261,Cops & Robbersons,36.0,5.0,1994
19176,The Cowboy Way,38.0,5.1,1994
49299,Dangerous Game,9.0,5.4,1993
11566,Dave,205.0,6.3,1993
9571,Dazed and Confused,588.0,7.4,1993
9739,Demolition Man,1018.0,6.4,1993
24257,The Endless Summer 2,12.0,7.1,1994
34444,Even Cowgirls Get the Blues,29.0,4.2,1994
26141,Fatal Instinct,37.0,5.4,1993
10997,Farewell My Concubine,98.0,7.8,1993
50463,The Favor,6.0,3.3,1994
10443,Fearless,80.0,6.8,1993
20239,Fear of a Black Hat,11.0,5.8,1994
16297,With Honors,54.0,6.1,1994
18551,Flesh and Bone,22.0,6.2,1993
25440,Widows' Peak,3.0,4.3,1994
9024,For Love or Money,77.0,5.7,1993
37233,The Firm,513.0,6.6,1993
1634,Free Willy,429.0,6.0,1993
13815,Fresh,56.0,7.6,1994
5503,The Fugitive,1240.0,7.2,1993
35588,Geronimo: An American Legend,44.0,5.9,1993
2087,The Getaway,81.0,5.4,1994
41579,Getting Even with Dad,43.0,4.5,1994
18620,Go Fish,5.0,3.9,1994
41006,A Good Man in Africa,11.0,5.2,1994
4916,Guilty as Sin,21.0,5.6,1993
2019,Hard Target,237.0,6.1,1993
31642,Heaven & Earth,51.0,6.4,1993
9255,Hot Shots! Part Deux,463.0,6.2,1993
26271,Live Nude Girls,12.0,4.7,1995
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,83.0,6.1,1995
2259,The House of the Spirits,135.0,6.7,1993
16097,House Party 3,11.0,4.6,1994
11934,The Hudsucker Proxy,280.0,7.1,1994
106143,I'll Do Anything,18.0,5.7,1994
12475,In the Army Now,54.0,4.7,1994
9386,In the Line of Fire,392.0,6.8,1993
7984,In the Name of the Father,363.0,7.6,1993
59930,The Inkwell,5.0,3.9,1994
15765,What's Love Got to Do with It,75.0,6.9,1993
31643,Jimmy Hollywood,17.0,4.6,1994
6,Judgment Night,79.0,6.4,1993
329,Jurassic Park,4956.0,7.6,1993
10909,Kalifornia,209.0,6.5,1993
507,Killing Zoe,111.0,6.1,1993
34024,King of the Hill,33.0,6.4,1993
29918,Lassie,54.0,6.1,1994
9593,Last Action Hero,725.0,6.1,1993
42580,Life With Mikey,24.0,5.1,1993
22317,Lightning Jack,40.0,5.7,1994
1413,M. Butterfly,35.0,6.6,1993
12121,Made in America,86.0,5.3,1993
2246,Malice,105.0,5.9,1993
10502,The Man without a Face,125.0,6.2,1993
10440,Manhattan Murder Mystery,169.0,7.1,1993
9516,Menace II Society,179.0,7.2,1993
2320,Executive Decision,261.0,5.8,1996
5879,In the Realm of the Senses,112.0,6.5,1976
83718,What Happened Was...,7.0,7.0,1994
11971,Much Ado About Nothing,194.0,7.2,1993
2625,Mr. Jones,35.0,5.9,1993
31911,Mr. Wonderful,11.0,5.5,1993
788,Mrs. Doubtfire,1638.0,7.0,1993
21450,Naked,105.0,7.5,1993
11231,The Next Karate Kid,202.0,4.8,1994
41588,The New Age,5.0,4.8,1994
10447,No Escape,86.0,6.1,1994
31586,North,67.0,4.8,1994
9300,Orlando,53.0,6.7,1992
9559,A Perfect World,376.0,7.2,1993
9800,Philadelphia,1019.0,7.6,1993
713,The Piano,290.0,7.1,1993
8291,Poetic Justice,47.0,6.9,1993
18133,The Program,28.0,6.0,1993
25557,The Puppet Masters,41.0,5.6,1994
22588,Radioland Murders,12.0,5.8,1994
10872,The Ref,99.0,6.7,1994
1245,The Remains of the Day,213.0,7.5,1993
11858,Renaissance Man,83.0,5.9,1994
7007,Rising Sun,188.0,5.8,1993
10467,The Road to Wellville,43.0,5.5,1994
5550,RoboCop 3,309.0,4.2,1993
8005,Robin Hood: Men in Tights,575.0,6.4,1993
2088,Romeo Is Bleeding,36.0,5.7,1993
10412,Romper Stomper,126.0,6.6,1992
47889,Ruby in Paradise,10.0,5.6,1993
14534,Rudy,187.0,7.2,1993
56583,The Saint of Fort Washington,5.0,4.0,1993
41878,Savage Nights,11.0,6.2,1992
424,Schindler's List,4436.0,8.3,1993
35233,The Scout,37.0,5.3,1994
14291,Searching for Bobby Fischer,100.0,7.3,1993
103413,Second Best,8.0,5.9,1994
11236,The Secret Garden,232.0,7.1,1993
11592,Serial Mom,137.0,6.4,1994
8850,The Shadow,140.0,5.4,1994
10445,Shadowlands,61.0,6.8,1993
695,Short Cuts,136.0,6.9,1993
43535,A Simple Twist of Fate,26.0,5.7,1994
12519,Sirens,31.0,5.2,1993
23210,Six Degrees of Separation,75.0,6.5,1993
858,Sleepless in Seattle,630.0,6.5,1993
867,Sliver,144.0,4.9,1993
78,Blade Runner,3833.0,7.9,1982
13203,Son in Law,81.0,5.6,1993
10442,So I Married an Axe Murderer,131.0,6.1,1993
11074,Striking Distance,223.0,5.4,1993
33367,Harem,4.0,4.0,1985
9607,Super Mario Bros.,236.0,4.0,1993
17585,Surviving the Game,53.0,6.1,1994
9057,Terminal Velocity,82.0,5.0,1994
20967,Thirty Two Short Films About Glenn Gould,9.0,7.4,1993
10635,Threesome,57.0,6.3,1994
9479,The Nightmare Before Christmas,2135.0,7.6,1993
10057,The Three Musketeers,219.0,6.2,1993
11969,Tombstone,632.0,7.4,1993
41590,Trial by Jury,5.0,5.5,1994
319,True Romance,762.0,7.5,1993
26408,The War Room,19.0,7.3,1993
15139,The Pagemaster,178.0,6.2,1994
161158,"Paris, France",2.0,6.0,1994
218473,"The Beans of Egypt, Maine",1.0,0.0,1994
85247,Killer,2.0,3.0,1994
11446,Welcome to the Dollhouse,103.0,6.9,1995
51980,Germinal,43.0,6.3,1993
24405,Chasers,22.0,4.7,1994
11655,Cronos,153.0,6.4,1993
11800,Naked in New York,3.0,4.0,1993
8223,Kika,58.0,6.8,1993
14587,Bhaji on the Beach,10.0,5.1,1994
31504,Little Big League,20.0,6.0,1994
41653,The Slingshot,10.0,6.2,1993
53185,Wide Eyed and Legless,0.0,0.0,1993
95743,Foreign Student,0.0,0.0,1994
23637,"Ciao, Professore!",74.0,7.2,1992
17600,Spanking the Monkey,29.0,5.3,1994
10897,The Little Rascals,214.0,6.3,1994
349394,À la mode,0.0,0.0,1993
21352,Andre,31.0,5.0,1994
68806,The Escort,5.0,5.0,1993
37345,Princess Caraboo,5.0,4.4,1994
32562,The Celluloid Closet,24.0,7.0,1996
47507,Café au Lait,4.0,6.8,1993
25403,Dear Diary,46.0,6.9,1993
124304,I Don't Want to Talk About It,1.0,6.0,1993
9066,The Brady Bunch Movie,87.0,5.9,1995
771,Home Alone,2487.0,7.1,1990
251,Ghost,1381.0,6.9,1990
812,Aladdin,3495.0,7.4,1992
280,Terminator 2: Judgment Day,4274.0,7.7,1991
581,Dances with Wolves,1084.0,7.6,1990
80350,Tough and Deadly,4.0,6.3,1995
268,Batman,2145.0,7.0,1989
274,The Silence of the Lambs,4549.0,8.1,1991
408,Snow White and the Seven Dwarfs,1973.0,6.9,1937
10020,Beauty and the Beast,3029.0,7.5,1991
10895,Pinocchio,1412.0,6.9,1940
114,Pretty Woman,1807.0,7.0,1990
41043,Window to Paris,6.0,6.0,1993
576,The Wild Bunch,266.0,7.7,1969
15477,Love and a .45,15.0,5.5,1994
59146,The Wooden Man's Bride,1.0,6.5,1994
124472,A Great Day in Harlem,2.0,7.0,1994
30528,Bye Bye Love,20.0,6.1,1995
7300,One Fine Day,160.0,6.1,1996
10824,Candyman: Farewell to the Flesh,64.0,5.0,1995
261246,Century,1.0,5.0,1993
275,Fargo,2080.0,7.7,1996
25059,Homeward Bound II: Lost in San Francisco,105.0,6.0,1996
11827,Heavy Metal,150.0,6.3,1981
8766,Hellraiser: Bloodline,111.0,4.9,1996
23570,The Pallbearer,30.0,4.6,1996
47333,Jane Eyre,51.0,7.1,1996
54850,Loaded,3.0,4.0,1996
51242,Bread and Chocolate,10.0,7.1,1974
10112,The Aristocats,1287.0,7.1,1970
4307,The Flower of My Secret,43.0,6.9,1995
46029,Two Much,24.0,5.1,1996
32308,Ed,24.0,3.6,1996
88893,Scream of Stone,4.0,7.5,1991
52873,My Favorite Season,4.0,6.4,1993
123505,A Modern Affair,1.0,5.0,1996
340210,Condition Red,3.0,4.7,1995
44281,Halfaouine: Boy of the Terraces,5.0,7.4,1990
28121,A Thin Line Between Love and Hate,15.0,5.7,1996
12520,The Last Supper,82.0,6.5,1995
1592,Primal Fear,644.0,7.4,1996
166901,Rude,1.0,6.0,1995
36447,Carried Away,5.0,5.4,1996
